Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Infiniti M45 4dr,1,2,"42,845.00","38,792.00",4.5,8,340,13.8,10.2,1733,279,500,178
Infiniti Q45 Luxury 4dr,1,2,"52,545.00","47,575.00",4.5,8,340,13.8,10.2,1790,287,508,185
Jaguar S-Type 3.0 4dr,1,2,"43,895.00","40,004.00",3,6,235,13.1,9.0,1700,292,488,183
Jaguar S-Type 4.2 4dr,1,2,"49,995.00","45,556.00",4.2,8,294,13.1,8.4,1743,292,488,183
Jaguar S-Type R 4dr,1,2,"63,120.00","57,499.00",4.2,8,390,13.8,9.8,1821,292,488,183
Jaguar Vanden Plas 4dr,1,2,"68,995.00","62,846.00",4.2,8,294,13.1,8.4,1711,302,508,185
Jaguar XJ8 4dr,1,2,"59,995.00","54,656.00",4.2,8,294,13.1,8.4,1711,302,508,185
Jaguar XJR 4dr,1,2,"74,995.00","68,306.00",4.2,8,390,13.8,9.8,1777,302,508,185
Lexus GS 300 4dr,1,2,"41,010.00","36,196.00",3,6,220,13.1,9.4,1642,279,480,180
Lexus GS 430 4dr,1,2,"48,450.00","42,232.00",4.3,8,300,13.1,10.2,1672,279,480,180
Lexus LS 430 4dr,1,2,"55,750.00","48,583.00",4.3,8,290,13.1,9.4,1796,292,500,183
Lincoln LS V8 Sport 4dr,1,2,"40,095.00","36,809.00",3.9,8,280,13.8,9.8,1696,292,493,185
Lincoln LS V8 Ultimate 4dr,1,2,"43,495.00","39,869.00",3.9,8,280,13.8,9.8,1696,292,493,185
Lincoln Town Car Signature 4dr,1,2,"41,815.00","38,418.00",4.6,8,239,13.8,9.4,1966,300,546,198
Lincoln Town Car Ultimate 4dr,1,2,"44,925.00","41,217.00",4.6,8,239,13.8,9.4,1966,300,546,198
Lincoln Town Car Ultimate L 4dr,1,2,"50,470.00","46,208.00",4.6,8,239,13.8,9.4,2013,315,561,198
Mercedes-Benz C32 AMG 4dr,1,2,"52,120.00","48,522.00",3.2,6,349,14.7,11.2,1593,272,452,173
Mercedes-Benz CL500 2dr,1,2,"94,820.00","88,324.00",5,8,302,14.7,9.8,1838,290,498,185
Mercedes-Benz CL600 2dr,1,2,"128,420.00","119,600.00",5.5,12,493,18.1,12.4,2013,290,498,185
Mercedes-Benz CLK320 coupe 2dr (convertible),1,2,"45,707.00","41,966.00",3.2,6,215,11.8,9.0,1697,272,465,175
Mercedes-Benz CLK500 coupe 2dr (convertible),1,2,"52,800.00","49,104.00",5,8,302,13.8,10.7,1613,272,465,175
Mercedes-Benz E320 4dr,1,2,"48,170.00","44,849.00",3.2,6,221,12.4,8.7,1636,284,483,180
Mercedes-Benz E500 4dr,1,2,"57,270.00","53,382.00",5,8,302,14.7,11.8,1717,284,483,180
Mercedes-Benz S430 4dr,1,2,"74,320.00","69,168.00",4.3,8,275,13.1,9.0,1872,310,516,185
Mercedes-Benz S500 4dr,1,3,"86,970.00","80,939.00",5,8,302,14.7,9.8,1976,310,516,185
Saab 9-3 Arc convertible 2dr,1,1,"40,670.00","38,520.00",2,4,210,11.2,8.1,1566,267,462,175
Saab 9-3 Aero convertible 2dr,1,1,"43,175.00","40,883.00",2,4,210,11.2,7.8,1665,267,462,175
Volkswagen Phaeton 4dr,1,1,"65,000.00","59,912.00",4.2,8,335,*,*,2337,300,518,191
Volkswagen Phaeton W12 4dr,1,1,"75,000.00","69,130.00",6,12,420,*,*,2430,300,518,191
Volvo C70 LPT convertible 2dr,1,1,"40,565.00","38,203.00",2.4,5,197,11.2,8.4,1553,267,472,183
Volvo C70 HPT convertible 2dr,1,1,"42,565.00","40,083.00",2.3,5,242,11.8,9.0,1553,267,472,183
Volvo S80 T6 4dr,1,1,"45,210.00","42,573.00",2.9,6,268,12.4,9.0,1644,279,483,183
Acura NSX coupe 2dr manual S,2,2,"89,765.00","79,978.00",3.2,6,290,13.8,9.8,1419,254,442,180
Audi RS 6 4dr,2,1,"84,600.00","76,417.00",4.2,8,450,15.7,10.7,1811,277,485,198
Audi TT 1.8 convertible 2dr (coupe),2,1,"35,940.00","32,512.00",1.8,4,180,11.8,8.4,1409,241,404,185
Audi TT 1.8 Quattro 2dr (convertible),2,3,"37,390.00","33,891.00",1.8,4,225,11.8,8.4,1314,244,404,185
Audi TT 3.2 coupe 2dr (convertible),2,3,"40,590.00","36,739.00",3.2,6,250,11.2,8.1,1508,244,404,185
BMW M3 coupe 2dr,2,2,"48,195.00","44,170.00",3.2,6,333,14.7,9.8,1537,274,450,178
BMW M3 convertible 2dr,2,2,"56,595.00","51,815.00",3.2,6,333,14.7,10.2,1701,274,450,178
BMW Z4 convertible 2.5i 2dr,2,2,"33,895.00","31,065.00",2.5,6,184,11.8,8.4,1319,249,409,178
BMW Z4 convertible 3.0i 2dr,2,2,"41,045.00","37,575.00",3,6,225,11.2,8.1,1349,249,409,178
Cadillac XLR convertible 2dr,2,2,"76,200.00","70,546.00",4.6,8,320,13.8,9.4,1641,269,452,183
Chevrolet Corvette 2dr,2,2,"44,535.00","39,068.00",5.7,8,350,13.1,9.4,1461,267,457,188
Chevrolet Corvette convertible 2dr,2,2,"51,535.00","45,193.00",5.7,8,350,13.1,9.4,1462,267,457,188
Chrysler Crossfire 2dr,2,2,"34,495.00","32,033.00",3.2,6,215,13.8,9.4,1377,241,406,178
Dodge Viper SRT-10 convertible 2dr,2,2,"81,795.00","74,451.00",8.3,10,500,*,*,1535,251,447,191
Ford Mustang 2dr (convertible),2,2,"18,345.00","16,943.00",3.8,6,193,11.8,8.1,1481,257,465,185
Ford Mustang GT Premium convertible 2dr,2,2,"29,380.00","26,875.00",4.6,8,260,13.8,9.4,1506,257,465,185
Ford Thunderbird Deluxe convert w/hardtop 2dr,2,1,"37,530.00","34,483.00",3.9,8,280,13.8,9.8,1701,272,472,183
Honda S2000 convertible 2dr,2,2,"33,260.00","29,965.00",2.2,4,240,11.8,9.4,1276,241,411,175
Hyundai Tiburon GT V6 2dr,2,1,"18,739.00","17,101.00",2.7,6,172,12.4,9.0,1360,254,439,175
Jaguar XK8 coupe 2dr,2,2,"69,995.00","63,756.00",4.2,8,294,13.1,9.0,1701,259,475,180
Jaguar XK8 convertible 2dr,2,2,"74,995.00","68,306.00",4.2,8,294,13.1,9.0,1791,259,475,180
Jaguar XKR coupe 2dr,2,2,"81,995.00","74,676.00",4.2,8,390,14.7,10.2,1739,259,475,180
Jaguar XKR convertible 2dr,2,2,"86,995.00","79,226.00",4.2,8,390,14.7,10.2,1819,259,475,180
Lexus SC 430 convertible 2dr,2,2,"63,200.00","55,063.00",4.3,8,300,13.1,10.2,1728,262,452,183
Mazda MX-5 Miata convertible 2dr,2,2,"22,388.00","20,701.00",1.8,4,142,10.2,8.4,1074,226,396,168
Mazda MX-5 Miata LS convertible 2dr,2,2,"25,193.00","23,285.00",1.8,4,142,10.2,8.4,1074,226,396,168
Mazda RX-8 4dr automatic,2,2,"25,700.00","23,794.00",1.3,-1,197,13.1,9.4,1374,269,442,*
Mazda RX-8 4dr manual,2,2,"27,200.00","25,179.00",1.3,-1,238,13.1,9.8,1363,269,442,*
Mercedes-Benz SL500 convertible 2dr,2,2,"90,520.00","84,325.00",5,8,302,14.7,10.2,1829,257,455,183
Mercedes-Benz SL55 AMG 2dr,2,2,"121,770.00","113,388.00",5.5,8,493,16.8,11.2,1906,257,455,183
Mercedes-Benz SL600 convertible 2dr,2,2,"126,670.00","117,854.00",5.5,12,493,18.1,12.4,1993,257,455,183
Mercedes-Benz SLK230 convertible 2dr,2,2,"40,320.00","37,548.00",2.3,4,192,11.2,8.1,1375,241,401,173
Mercedes-Benz SLK32 AMG 2dr,2,2,"56,170.00","52,289.00",3.2,6,349,13.8,10.7,1449,241,401,173
Mitsubishi Eclipse GTS 2dr,2,1,"25,092.00","23,456.00",3,6,210,11.2,8.4,1458,257,450,175
Mitsubishi Eclipse Spyder GT convertible 2dr,2,1,"26,992.00","25,218.00",3,6,210,11.2,8.4,1483,257,450,175
Mitsubishi Lancer Evolution 4dr,2,1,"29,562.00","27,466.00",2,4,271,13.1,9.0,1468,262,455,178
Nissan 350Z coupe 2dr,2,2,"26,910.00","25,203.00",3.5,6,287,11.8,9.0,1435,264,429,183
Nissan 350Z Enthusiast convertible 2dr,2,2,"34,390.00","31,845.00",3.5,6,287,11.8,9.0,1543,264,429,183
Pontiac GTO 2dr,2,2,"33,500.00","30,710.00",5.7,8,340,*,*,1676,279,483,185
Porsche 911 Carrera convertible 2dr (coupe),2,2,"79,165.00","69,229.00",3.6,6,315,13.1,9.0,1411,236,445,178
Porsche 911 Carrera 4S coupe 2dr (convert),2,3,"84,165.00","72,206.00",3.6,6,315,13.8,9.8,1458,236,445,183
Porsche 911 Targa coupe 2dr,2,2,"76,765.00","67,128.00",3.6,6,315,13.1,9.0,1404,236,445,178
Porsche 911 GT2 2dr,2,2,"192,465.00","173,560.00",3.6,6,477,13.8,9.8,1409,236,445,183
Porsche Boxster convertible 2dr,2,2,"43,365.00","37,886.00",2.7,6,228,11.8,8.1,1265,241,432,178
Porsche Boxster S convertible 2dr,2,2,"52,365.00","45,766.00",3.2,6,258,13.1,9.0,1310,241,432,178
Subaru Impreza WRX 4dr,2,3,"25,045.00","23,022.00",2,4,227,11.8,8.7,1388,251,442,175
Subaru Impreza WRX STi 4dr,2,3,"31,545.00","29,130.00",2.5,4,300,13.1,9.8,1468,254,442,175
Toyota Celica GT-S 2dr,2,1,"22,570.00","20,363.00",1.8,4,180,9.8,7.1,1125,259,434,173
Toyota MR2 Spyder convertible 2dr,2,2,"25,130.00","22,787.00",1.8,4,138,9.0,7.4,988,246,389,170
Cadillac Escaladet,3,1,"52,795.00","48,377.00",5.3,8,295,16.8,13.1,2415,295,505,201
Cadillac SRX V8,3,1,"46,995.00","43,523.00",4.6,8,320,14.7,11.2,1936,295,495,185
Chevrolet Suburban 1500 LT,3,1,"42,735.00","37,422.00",5.3,8,295,16.8,13.1,2226,330,556,201
Chevrolet Tahoe LT,3,3,"41,465.00","36,287.00",5.3,8,295,16.8,13.1,2273,295,500,201
Dodge Durango SLT,3,3,"32,235.00","29,472.00",4.7,8,230,15.7,11.2,2244,302,511,193
Ford Excursion 6.8 XLT,3,3,"41,475.00","36,494.00",6.8,10,310,*,*,3236,348,577,203
Ford Expedition 4.6 XLT,3,1,"34,560.00","30,468.00",4.6,8,232,15.7,12.4,2250,302,523,201
GMC Envoy XUV SLE,3,1,"31,890.00","28,922.00",4.2,6,275,15.7,12.4,2225,328,528,191
CMC Yukon 1500 SLE,3,1,"35,725.00","31,361.00",4.8,8,285,14.7,12.4,2269,295,505,201
GMC Yukon XL 2500 SLT,3,3,"46,265.00","40,534.00",6,8,325,18.1,13.8,2760,330,556,201
Hummer H2,3,3,"49,995.00","45,815.00",6,8,316,23.5,19.6,2880,312,483,206
Isuzu Ascender S,3,3,"31,849.00","29,977.00",4.2,6,275,15.7,11.8,2235,328,528,193
Lincoln Navigator Luxury,3,3,"52,775.00","46,360.00",5.4,8,300,18.1,13.1,2686,302,523,203
Nissan Pathfinder Armada SE,3,1,"33,840.00","30,815.00",5.6,8,305,18.1,12.4,2256,312,526,201
Toyota Sequoia SR5,3,3,"35,695.00","31,827.00",4.7,8,240,16.8,13.8,2372,300,518,198
Acura MDX,3,3,"36,945.00","33,337.00",3.5,6,265,13.8,10.2,2003,269,480,196
BMW X3 3.0i,3,3,"37,000.00","33,873.00",3,6,225,14.7,10.2,1810,279,457,185
BMW X5 4.4i,3,3,"52,195.00","47,720.00",4.4,8,325,14.7,10.7,2171,282,467,188
Buick Rainier,3,3,"37,895.00","34,357.00",4.2,6,275,15.7,11.2,2070,287,490,191
Buick Rendezvous CX,3,1,"26,545.00","24,085.00",3.4,6,185,12.4,9.0,1811,284,475,188
Chevrolet TrailBlazer LT,3,1,"30,295.00","27,479.00",4.2,6,275,14.7,11.2,1991,287,488,191
Ford Explorer XLT V6,3,3,"29,670.00","26,983.00",4,6,210,15.7,11.8,2008,290,483,183
Honda Pilot LX,3,3,"27,560.00","24,843.00",3.5,6,240,13.8,10.7,1974,269,478,196
Isuzu Rodeo S,3,1,"20,449.00","19,261.00",3.2,6,193,13.8,11.2,1726,269,452,178
Jeep Grand Cherokee Laredo,3,1,"27,905.00","25,686.00",4,6,195,14.7,11.2,1706,269,460,183
Kia Sorento LX,3,1,"19,635.00","18,630.00",3.5,6,192,14.7,12.4,1850,272,457,185
Land Rover Range Rover HSE,3,3,"72,250.00","65,807.00",4.4,8,282,19.6,14.7,2421,287,495,193
Lexus GX 470,3,3,"45,700.00","39,838.00",4.7,8,235,15.7,12.4,2133,279,478,188
Lexus LX 470,3,3,"64,800.00","56,455.00",4.7,8,235,18.1,13.8,2516,284,490,193
Lexus RX 330,3,3,"39,195.00","34,576.00",3.3,6,230,13.1,9.8,1829,272,472,185
Lincoln Aviator Ultimate,3,1,"42,915.00","39,443.00",4.6,8,302,18.1,13.1,2175,290,490,193
Mercedes-Benz G500,3,3,"76,870.00","71,540.00",5,8,292,18.1,16.8,2440,284,472,180
Mercedes-Benz ML500,3,3,"46,470.00","43,268.00",5,8,288,16.8,13.8,2193,282,465,183
Mercury Mountaineer,3,1,"29,995.00","27,317.00",4,6,210,14.7,11.2,1968,290,483,183
Mitsubishi Endeavor XLS,3,3,"30,492.00","28,330.00",3.8,6,215,13.8,11.2,1860,277,483,188
Mitsubishi Montero XLS,3,3,"33,112.00","30,763.00",3.8,6,215,15.7,12.4,2123,279,483,191
Nissan Pathfinder SE,3,1,"27,339.00","25,972.00",3.5,6,240,14.7,11.2,1742,269,465,183
Pontiac Aztekt,3,1,"21,595.00","19,810.00",3.4,6,185,12.4,9.0,1701,274,462,188
Porsche Cayenne S,3,3,"56,665.00","49,865.00",4.5,8,340,16.8,13.1,2228,284,478,193
Saturn VUE,3,3,"20,585.00","19,238.00",2.2,4,143,11.2,9.0,1521,272,460,183
Suzuki XL-7 EX,3,1,"23,699.00","22,307.00",2.7,6,185,13.1,10.7,1657,279,475,178
Toyota 4Runner SR5 V6,3,1,"27,710.00","24,801.00",4,6,245,13.1,11.2,1816,279,480,188
Toyota Highlander V6,3,3,"27,930.00","24,915.00",3.3,6,230,13.1,9.8,1771,272,470,183
Toyota Land Cruiser,3,3,"54,765.00","47,986.00",4.7,8,325,18.1,13.8,2426,284,490,193
Volkswagen Touareg V6,3,3,"35,515.00","32,243.00",3.2,6,220,15.7,11.8,2289,284,475,193
Volvo XC90 T6,3,3,"41,250.00","38,851.00",2.9,6,268,15.7,11.8,2087,287,480,191
Chevrolet Tracker,3,1,"20,255.00","19,108.00",2.5,6,165,12.4,10.7,1290,249,414,170
Ford Escape XLS,3,3,"22,515.00","20,907.00",3,6,201,13.1,10.2,1506,262,439,178
Honda CR-V LX,3,3,"19,860.00","18,419.00",2.4,4,160,11.2,9.4,1466,262,455,178
Honda Element LX,3,3,"18,690.00","17,334.00",2.4,4,160,11.2,9.8,1561,257,424,183
Hyundai Santa Fe GLS,3,1,"21,589.00","20,201.00",2.7,6,173,11.8,9.0,1597,262,450,185
Jeep Liberty Sport,3,3,"20,130.00","18,973.00",2.4,4,150,11.8,9.8,1722,264,442,183
Jeep Wrangler Sahara convertible 2dr,3,3,"25,520.00","23,275.00",4,6,190,14.7,12.4,1609,236,381,170
Land Rover Discovery SE,3,3,"39,250.00","35,777.00",4.6,8,217,19.6,14.7,2059,254,470,188
Land Rover Freelander SE,3,3,"25,995.00","23,969.00",2.5,6,174,13.1,11.2,1610,257,445,180
Mazda Tribute DX 2.0,3,3,"21,087.00","19,742.00",2,4,130,10.7,9.4,1391,262,439,183
Mitsubishi Outlander LS,3,1,"18,892.00","17,569.00",2.4,4,160,11.2,8.7,1458,262,455,175
Nissan Xterra XE V6,3,1,"20,939.00","19,512.00",3.3,6,180,13.8,11.8,1692,264,452,178
Suzuki Vitara LX,3,3,"17,163.00","16,949.00",2.5,6,165,12.4,10.7,1359,249,414,170
Toyota RAV4,3,3,"20,290.00","18,553.00",2.4,4,161,10.7,8.7,1404,249,424,173
Audi A6 3.0 Avant Quattro,4,3,"40,840.00","37,060.00",3,6,220,13.1,9.4,1816,277,488,180
Audi S4 Avant Quattro,4,3,"49,090.00","44,446.00",4.2,8,340,15.7,11.2,1771,264,455,178
BMW 325xi Sport,4,3,"32,845.00","30,110.00",2.5,6,184,12.4,9.0,1617,272,447,175
Chevrolet Malibu Maxx LS,4,1,"22,225.00","20,394.00",3.5,6,200,10.7,7.8,1556,284,478,178
Chrysler Pacifica,4,2,"31,230.00","28,725.00",3.5,6,250,13.8,10.2,2104,295,505,201
Ford Focus ZTW,4,1,"17,475.00","16,375.00",2,4,130,9.0,7.1,1216,262,452,170
Ford Taurus SE,4,1,"22,290.00","20,457.00",3,6,155,12.4,9.0,1574,277,503,185
Infiniti FX35,4,2,"34,895.00","31,756.00",3.5,6,280,14.7,10.7,1825,284,480,193
Infiniti FX45,4,3,"36,395.00","33,121.00",4.5,8,315,15.7,12.4,1939,284,480,193
Kia Rio Cinco,4,1,"11,905.00","11,410.00",1.6,4,104,9.0,7.1,1101,241,424,168
Lexus IS 300 SportCross,4,2,"32,455.00","28,647.00",3,6,215,13.1,9.8,1535,267,450,173
Mercedes-Benz C240,4,2,"33,780.00","31,466.00",2.6,6,168,12.4,9.4,1562,272,455,173
Mercedes-Benz E320,4,2,"50,670.00","47,174.00",3.2,6,221,12.4,8.7,1785,284,483,180
Mercedes-Benz E500,4,3,"60,670.00","56,474.00",5,8,302,14.7,9.8,1904,284,483,180
Mercury Sable GS,4,1,"22,595.00","20,748.00",3,6,155,12.4,9.0,1570,277,503,185
Mitsubishi Lancer Sportback LS,4,1,"17,495.00","16,295.00",2.4,4,160,*,*,1359,259,460,170
Nissan Murano SL,4,2,"28,739.00","27,300.00",3.5,6,245,11.8,9.4,1710,282,478,188
Pontiac Vibe,4,2,"17,045.00","15,973.00",1.8,4,130,8.1,6.5,1215,259,437,178
Saab 9-5 Aero,4,1,"40,845.00","38,376.00",2.3,4,250,12.4,8.1,1629,269,483,180
Saturn L300 2,4,1,"23,560.00","21,779.00",2.2,4,140,9.8,6.9,1399,272,483,175
Scion xB,4,1,"14,165.00","13,480.00",1.5,4,108,7.6,6.7,1091,249,394,170
Subaru Forester X,4,3,"21,445.00","19,646.00",2.5,4,165,11.2,8.4,1391,251,445,173
Subaru Outback,4,3,"23,895.00","21,773.00",2.5,4,165,11.2,8.4,1544,264,475,175
Suzuki Aerio SX,4,3,"16,497.00","16,291.00",2.3,4,155,9.8,8.1,1319,249,424,173
Toyota Matrix XR,4,1,"16,695.00","15,156.00",1.8,4,130,8.1,6.5,1206,259,434,178
Volkswagen Jetta GL,4,1,"19,005.00","17,427.00",2,4,115,9.8,7.8,1365,251,442,173
Volkswagen Passat GLS 1.8T,4,1,"24,955.00","22,801.00",1.8,4,170,10.7,7.6,1502,269,467,175
Volkswagen Passat W8,4,1,"40,235.00","36,956.00",4,8,270,13.1,9.4,1830,269,467,175
Volvo V40,4,1,"26,135.00","24,641.00",1.9,4,170,10.7,8.1,1270,257,457,173
Volvo XC70,4,3,"35,145.00","33,112.00",2.5,5,208,11.8,8.7,1720,277,472,185
Chevrolet Astro,5,3,"26,395.00","23,954.00",4.3,6,190,16.8,13.8,2072,282,483,198
Chevrolet Venture LS,5,1,"27,020.00","24,518.00",3.4,6,185,12.4,9.0,1665,284,475,183
Chrysler Town and Country LX,5,1,"27,490.00","25,371.00",3.3,6,180,12.4,9.0,1831,302,511,201
Chrysler Town and Country Limited,5,1,"38,380.00","35,063.00",3.8,6,215,13.1,9.4,1949,302,511,201
Dodge Caravan SE,5,1,"21,795.00","20,508.00",2.4,4,150,11.8,9.0,1738,287,480,201
Dodge Grand Caravan SXT,5,3,"32,660.00","29,812.00",3.8,6,215,13.1,9.4,1998,302,511,201
Ford Freestar SE,5,1,"26,930.00","24,498.00",3.9,6,193,13.8,10.2,1924,307,511,196
GMC Safari SLE,5,2,"25,640.00","23,215.00",4.3,6,190,14.7,11.8,1939,282,483,198
Honda Odyssey LX,5,1,"24,950.00","22,498.00",3.5,6,240,13.1,9.4,1940,300,511,193
Honda Odyssey EX,5,1,"27,450.00","24,744.00",3.5,6,240,13.1,9.4,1964,300,511,193
Kia Sedona LX,5,1,"20,615.00","19,400.00",3.5,6,195,14.7,10.7,2161,292,493,191
Mazda MPV ES,5,1,"28,750.00","26,600.00",3,6,200,13.1,9.4,1715,284,478,183
Mercury Monterey Luxury,5,1,"33,995.00","30,846.00",4.2,6,201,14.7,10.2,1953,307,513,196
Nissan Quest S,5,1,"24,780.00","22,958.00",3.5,6,240,12.4,9.0,1805,315,518,198
Nissan Quest SE,5,1,"32,780.00","30,019.00",3.5,6,240,13.1,9.4,1879,315,518,198
Oldsmobile Silhouette GL,5,1,"28,790.00","26,120.00",3.4,6,185,12.4,9.0,1777,305,511,183
Pontiac Montana,5,1,"23,845.00","21,644.00",3.4,6,185,12.4,9.0,1711,284,475,183
Pontiac Montana EWB,5,3,"31,370.00","28,454.00",3.4,6,185,13.1,9.8,1994,307,511,183
Toyota Sienna CE,5,1,"23,495.00","21,198.00",3.3,6,230,12.4,8.7,1854,302,508,196
Toyota Sienna XLE Limited,5,1,"28,800.00","25,690.00",3.3,6,230,12.4,8.7,1874,302,508,196
Cadillac Escalade EXT,6,3,"52,975.00","48,541.00",6,8,345,18.1,13.8,2646,330,*,*
Chevrolet Avalanche 1500,6,3,"36,100.00","31,689.00",5.3,8,295,16.8,13.1,2555,330,*,*
Chevrolet Colorado Z85,6,3,"18,760.00","17,070.00",2.8,4,175,13.1,10.2,1630,282,*,*
Chevrolet Silverado 1500 Regular Cab,6,2,"20,310.00","18,480.00",4.3,6,200,15.7,11.2,1864,302,*,*
Chevrolet Silverado SS,6,3,"40,340.00","35,399.00",6,8,300,18.1,13.8,2162,366,*,*
Chevrolet SSR,6,2,"41,995.00","39,306.00",5.3,8,300,14.7,12.4,2142,295,*,*
Dodge Dakota Regular Cab,6,2,"17,630.00","16,264.00",3.7,6,210,14.7,10.7,1671,284,*,*
Dodge Dakota Club Cab,6,2,"20,300.00","18,670.00",3.7,6,210,14.7,10.7,1723,333,*,*
Dodge Ram 1500 Regular Cab ST,6,2,"20,215.00","18,076.00",3.7,6,215,14.7,11.2,2044,307,*,*
Ford F-150 Regular Cab XL,6,2,"22,010.00","19,490.00",4.6,8,231,15.7,12.4,2155,320,*,*
Ford F-150 Supercab Lariat,6,3,"33,540.00","29,405.00",5.4,8,300,16.8,13.1,2459,338,*,*
Ford Ranger 2.3 XL Regular Cab,6,2,"14,385.00","13,717.00",2.3,4,143,9.8,8.1,1363,282,*,*
GMC Canyon Z85 SL Regular Cab,6,2,"16,530.00","14,877.00",2.8,4,175,12.4,9.8,1508,282,*,*
GMC Sierra Extended Cab 1500,6,2,"25,717.00","22,604.00",4.8,8,285,13.8,11.8,2047,366,*,*
GMC Sierra HD 2500,6,3,"29,322.00","25,759.00",6,8,300,*,*,2448,338,*,*
GMC Sonoma Crew Cab,6,3,"25,395.00","23,043.00",4.3,6,190,15.7,12.4,1837,312,*,*
Mazda B2300 SX Regular Cab,6,2,"14,840.00","14,070.00",2.3,4,143,9.8,8.1,1332,284,*,*
Mazda B4000 SE Cab Plus,6,3,"22,350.00","20,482.00",4,6,207,15.7,12.4,1607,320,*,*
Nissan Frontier King Cab XE V6,6,3,"19,479.00","18,253.00",3.3,6,180,13.8,11.8,1769,295,*,*
Nissan Titan King Cab XE,6,3,"26,650.00","24,926.00",5.6,8,305,16.8,13.1,2379,356,*,*
Subaru Baja,6,3,"24,520.00","22,304.00",2.5,4,165,11.2,8.4,1568,264,*,*
Toyota Tacoma,6,2,"12,800.00","11,879.00",2.4,4,142,10.7,8.7,1238,262,*,*
Toyota Tundra Regular Cab V6,6,2,"16,495.00","14,978.00",3.4,6,190,14.7,11.8,1766,325,*,*
Toyota Tundra Access Cab V6 SR5,6,3,"25,935.00","23,520.00",3.4,6,190,16.8,13.8,1996,325,*,*
