Carat,Colour,Clarity,Lab,Price ($US)
0.3,1,5,1,911.40
0.3,2,4,1,"1,057.00"
0.3,4,2,1,"1,057.00"
0.3,4,4,1,882.00
0.31,1,4,1,"1,148.70"
0.31,2,4,1,"1,088.50"
0.31,3,4,1,998.90
0.31,4,3,1,998.90
0.31,5,5,1,788.20
0.31,6,4,1,788.20
0.32,3,4,1,"1,027.60"
0.32,4,5,1,841.40
0.33,2,5,1,928.90
0.33,6,5,1,768.60
0.34,2,4,1,"1,185.10"
0.34,3,4,1,"1,085.70"
0.34,4,4,1,987.00
0.34,4,5,1,888.30
0.34,5,4,1,921.20
0.34,5,5,1,855.40
0.35,2,4,1,"1,216.60"
0.35,3,4,1,"1,115.10"
0.35,4,4,1,"1,012.90"
0.35,5,5,1,878.50
0.36,3,4,1,"1,144.50"
0.36,5,3,1,"1,039.50"
0.37,3,5,1,994.00
0.37,5,4,1,994.00
0.4,3,4,1,"1,337.70"
0.4,5,4,1,"1,067.50"
0.41,3,4,1,"1,369.20"
0.43,5,3,1,"1,222.90"
0.45,6,4,1,"1,100.40"
0.46,2,3,1,"2,059.40"
0.48,4,3,1,"1,772.40"
0.5,2,4,1,"2,450.70"
0.5,2,4,1,"2,450.70"
0.5,3,3,1,"2,450.70"
0.5,3,4,1,"2,305.10"
0.5,4,4,1,"2,111.20"
0.51,3,3,1,"2,496.90"
0.51,4,4,1,"2,243.50"
0.52,1,5,1,"2,443.00"
0.52,2,4,1,"2,544.50"
0.52,3,3,1,"2,544.50"
0.52,3,4,1,"2,392.60"
0.53,1,4,1,"2,744.70"
0.53,3,3,1,"2,590.70"
0.53,3,4,1,"2,436.00"
0.53,4,3,1,"2,384.90"
0.54,2,4,1,"2,636.90"
0.54,3,2,1,"2,846.20"
0.55,2,3,1,"2,896.60"
0.55,3,4,1,"2,523.50"
0.55,4,3,1,"2,470.30"
0.56,3,4,1,"2,566.90"
0.56,6,3,1,"2,024.40"
0.57,4,3,1,"2,555.70"
0.59,4,3,1,"2,641.10"
0.6,3,4,1,"3,003.70"
0.62,2,2,1,"4,091.50"
0.63,4,3,1,"3,080.70"
0.64,4,2,1,"3,331.30"
0.66,5,2,1,"3,010.00"
0.7,3,4,1,"3,857.00"
0.7,4,4,1,"3,585.40"
0.7,5,3,1,"3,585.40"
0.7,6,5,1,"2,702.70"
0.71,3,3,1,"4,116.70"
0.71,3,4,1,"3,910.20"
0.71,3,5,1,"3,635.10"
0.71,5,3,1,"3,635.10"
0.72,3,5,1,"3,684.10"
0.8,6,3,1,"3,808.70"
0.82,6,5,1,"3,463.60"
0.84,5,5,1,"3,993.50"
0.85,3,5,1,"4,763.50"
0.86,5,3,1,"4,817.40"
0.89,5,4,1,"4,696.30"
0.9,6,3,1,"4,677.40"
0.5,2,4,1,"2,450.70"
0.5,4,2,1,"2,402.40"
0.51,3,2,1,"2,695.70"
0.55,5,1,1,"2,523.50"
0.56,2,4,1,"2,730.00"
0.57,5,2,1,"2,390.50"
0.6,5,1,1,"3,003.70"
0.63,2,1,1,"4,558.40"
0.7,2,4,1,"4,060.00"
0.7,3,2,1,"4,399.50"
0.7,3,5,1,"3,585.40"
0.7,3,5,1,"3,585.40"
0.7,4,4,1,"3,585.40"
0.7,5,3,1,"3,585.40"
0.71,1,4,1,"4,460.40"
0.71,2,4,1,"4,116.70"
0.71,5,3,1,"3,635.10"
0.72,2,4,1,"4,172.70"
0.72,5,2,1,"3,963.40"
0.73,2,5,1,"4,016.60"
0.73,5,4,1,"3,521.00"
0.73,5,4,1,"3,521.00"
0.73,6,2,1,"3,308.90"
0.73,6,4,1,"2,954.70"
0.74,4,3,1,"4,070.50"
0.74,5,5,1,"3,209.50"
0.75,1,3,1,"5,157.60"
0.75,6,3,1,"3,266.90"
0.75,6,4,1,"3,048.50"
0.76,1,1,1,"6,919.50"
0.77,3,2,1,"4,843.30"
0.78,5,4,1,"3,770.20"
0.8,6,5,1,"3,382.40"
0.83,2,5,1,"5,009.20"
0.9,3,4,1,"5,376.00"
1,1,2,1,"10,907.40"
1,1,4,1,"7,993.30"
1,2,4,1,"7,411.60"
1,2,5,1,"6,829.90"
1,3,1,1,"9,739.10"
1,3,3,1,"7,411.60"
1,3,4,1,"7,499.10"
1,3,5,1,"6,636.00"
1,4,3,1,"6,927.20"
1,4,4,1,"6,733.30"
1,4,5,1,"6,418.30"
1,4,5,1,"6,442.10"
1,5,5,1,"6,151.60"
1,6,4,1,"5,666.50"
1,6,5,1,"5,472.60"
1.01,1,2,1,"11,205.60"
1.01,2,4,1,"7,484.40"
1.01,2,5,1,"6,897.10"
1.01,3,4,1,"7,190.40"
1.01,3,5,1,"6,701.10"
1.01,5,4,1,"6,407.10"
1.01,5,5,1,"6,211.10"
1.01,6,2,1,"6,211.10"
1.01,6,3,1,"5,918.50"
1.01,6,5,1,"5,526.50"
1.02,3,4,1,"7,260.40"
1.02,3,5,1,"6,766.20"
1.02,4,3,1,"7,063.00"
1.03,2,4,1,"7,630.00"
1.04,3,4,1,"7,399.70"
1.04,6,1,1,"6,694.10"
1.05,6,3,1,"6,146.70"
1.06,4,5,1,"6,820.10"
1.06,5,5,1,"6,511.40"
1.07,6,3,1,"6,261.50"
1.1,5,5,1,"6,752.20"
0.18,3,2,2,576.10
0.18,3,3,2,535.50
0.18,4,1,2,562.10
0.18,4,1,2,562.10
0.18,4,3,2,493.50
0.18,5,1,2,507.50
0.19,1,3,2,676.90
0.19,2,1,2,735.00
0.19,3,1,2,676.90
0.19,3,2,2,604.10
0.19,3,3,2,560.00
0.19,4,1,2,589.40
0.19,4,2,2,560.00
0.19,5,1,2,530.60
0.2,1,4,2,616.00
0.2,4,1,2,616.00
0.2,4,4,2,493.50
0.2,4,5,2,446.60
0.21,1,4,2,643.30
0.21,2,1,2,804.30
0.21,3,1,2,739.90
0.21,4,1,2,643.30
0.22,2,1,2,838.60
0.23,2,1,2,873.60
0.23,3,1,2,802.90
0.23,4,1,2,696.50
0.24,5,1,2,775.60
0.25,3,1,2,"1,039.50"
0.25,4,1,2,898.10
0.25,5,1,2,804.30
0.25,6,1,2,757.40
0.26,3,1,2,"1,077.30"
0.26,3,2,2,955.50
0.26,3,3,2,882.00
0.26,6,1,2,784.70
0.27,3,1,2,"1,116.50"
0.27,5,1,2,863.10
0.28,6,1,2,839.30
0.29,4,1,2,"1,029.70"
0.29,6,1,2,866.60
0.3,2,3,2,"1,106.00"
0.3,3,3,2,"1,021.30"
0.3,4,2,2,"1,021.30"
0.3,5,3,2,852.60
0.3,6,1,2,909.30
0.31,2,3,2,"1,139.60"
0.31,3,2,2,"1,139.60"
0.31,6,1,2,935.90
0.32,5,1,2,"1,023.40"
0.33,5,1,2,"1,052.10"
0.34,3,2,2,"1,241.10"
0.34,3,3,2,"1,145.20"
0.35,3,2,2,"1,274.70"
0.35,4,3,2,"1,078.00"
0.4,4,1,2,"1,593.20"
0.41,6,2,2,"1,131.20"
0.41,6,3,2,"1,054.20"
0.47,3,3,2,"1,855.70"
0.48,3,4,2,"1,668.10"
0.5,4,1,2,"2,556.40"
0.51,2,3,2,"2,605.40"
0.51,3,2,2,"2,605.40"
0.52,6,1,2,"2,166.50"
0.55,3,3,2,"2,594.20"
0.56,2,3,2,"2,849.00"
0.56,4,3,2,"2,429.00"
0.58,2,2,2,"3,381.70"
0.58,3,2,2,"2,946.30"
0.58,4,2,2,"2,674.70"
0.7,4,2,2,"3,924.90"
0.7,4,3,2,"3,728.20"
0.71,1,4,2,"4,312.00"
0.76,3,3,2,"4,266.50"
0.78,4,3,2,"4,155.90"
1,5,3,2,"6,539.40"
1.01,4,4,2,"6,799.10"
1.01,5,5,2,"6,211.10"
1.01,6,4,2,"5,722.50"
0.5,3,2,3,"2,644.60"
0.5,4,2,3,"2,402.40"
0.51,3,2,3,"2,695.70"
0.52,2,5,3,"2,342.20"
0.52,5,2,3,"2,191.00"
0.53,3,2,3,"2,796.50"
0.53,3,3,3,"2,590.70"
0.55,4,3,3,"2,470.30"
0.56,3,4,3,"2,566.90"
0.56,3,5,3,"2,241.40"
0.57,3,5,3,"2,279.20"
0.57,5,2,3,"2,390.50"
0.58,5,1,3,"2,654.40"
0.6,4,4,3,"2,747.50"
0.6,4,5,3,"2,394.70"
0.6,5,2,3,"2,747.50"
0.61,5,3,3,"2,531.20"
0.62,6,3,3,"2,530.50"
0.64,5,3,3,"2,649.50"
0.65,6,3,3,"2,550.10"
0.66,5,2,3,"3,010.00"
0.7,2,2,3,"4,806.90"
0.7,2,3,3,"4,399.50"
0.7,4,2,3,"4,060.00"
0.7,4,3,3,"3,857.00"
0.7,5,5,3,"3,042.20"
0.71,4,1,3,"4,460.40"
0.71,5,3,3,"3,635.10"
0.72,5,2,3,"3,963.40"
0.73,3,5,3,"3,733.10"
0.73,4,2,3,"4,228.70"
0.74,5,2,3,"4,070.50"
0.8,3,1,3,"6,027.70"
0.8,3,4,3,"4,833.50"
0.8,4,3,3,"4,833.50"
0.8,5,3,3,"4,491.20"
0.8,5,4,3,"4,235.70"
0.81,2,2,3,"6,100.50"
0.81,2,5,3,"4,891.60"
0.81,3,4,3,"4,891.60"
0.81,4,4,3,"4,546.50"
0.81,5,1,3,"5,150.60"
0.82,3,5,3,"4,600.40"
0.82,4,3,3,"4,950.40"
0.85,3,2,3,"5,851.30"
0.85,3,5,3,"4,763.50"
0.85,4,2,3,"5,397.70"
0.86,5,5,3,"4,084.50"
1,1,3,3,"9,642.50"
1,2,2,3,"9,835.70"
1,2,3,3,"7,993.30"
1,2,4,3,"7,411.60"
1,3,2,3,"8,187.20"
1,3,3,3,"7,411.60"
1,4,2,3,"7,315.00"
1,4,3,3,"6,927.20"
1,4,5,3,"6,442.10"
1,5,2,3,"6,636.00"
1,5,4,3,"6,345.50"
1,5,5,3,"6,151.60"
1,6,2,3,"6,151.60"
1,6,3,3,"5,860.40"
1,6,4,3,"5,666.50"
1,6,5,3,"5,472.60"
1.01,1,3,3,"9,736.30"
1.01,2,3,3,"8,071.70"
1.01,2,4,3,"7,484.40"
1.01,3,2,3,"8,267.70"
1.01,3,4,3,"7,190.40"
1.01,4,3,3,"6,995.10"
1.01,4,5,3,"6,505.10"
1.01,5,3,3,"6,603.10"
1.01,5,4,3,"6,407.10"
1.01,6,2,3,"6,211.10"
1.01,6,4,3,"5,722.50"
1.02,3,3,3,"7,557.20"
1.06,5,3,3,"6,923.00"
1.02,5,5,3,"6,271.30"
1.09,6,3,3,"6,374.90"
